Date,Open,High,Low,Close,Volume
05/09/17,582,584.599976,574.25,575.349976,1051498
06/09/17,572,583.400024,568.099976,580.150024,586041
07/09/17,575.349976,622.5,575.349976,616.950012,2093670
08/09/17,625,628,613.549988,623.599976,1699372
11/09/17,629.799988,630,618,619.5,389368
12/09/17,623.099976,636,623,633.299988,870084
13/09/17,639.950012,647,632.049988,636.349976,2145011
14/09/17,651.25,653.75,635,636.650024,1071997
15/09/17,636.700012,640.700012,628.25,636.950012,426433
18/09/17,640,646.5,637.25,644.450012,508334
19/09/17,647.5,667.5,642,657.599976,2078420
20/09/17,660.900024,660.900024,643.099976,645.799988,807541
21/09/17,646,649.549988,636,639.700012,574454
22/09/17,638.950012,638.950012,612.25,614.450012,956415
25/09/17,616,622.700012,597.450012,615.75,520244
26/09/17,615,633.549988,612.950012,625.549988,530400
27/09/17,628.900024,628.900024,612.200012,621.700012,396924
28/09/17,624,641.900024,611,635.400024,2137711
29/09/17,639.700012,645.5,631,643.150024,1131247
03/10/17,646,648.25,637.049988,639.549988,400963
04/10/17,639.200012,644.650024,634.400024,637.200012,291915
05/10/17,636.849976,685.049988,636.849976,664.299988,1751160
06/10/17,677,687.75,668.25,678.75,2375254
09/10/17,684,692,678.400024,681,1215059
10/10/17,684.950012,687.299988,677.650024,681.400024,407982
11/10/17,684.950012,702.299988,672.5,681.849976,2970269
12/10/17,687,701.799988,681,694.549988,1220700
13/10/17,694.650024,700.849976,687.549988,689.200012,1131916
16/10/17,690.25,700,685.25,697.799988,619521
17/10/17,699.700012,724.950012,698.099976,722.099976,3099908
18/10/17,721.200012,731,716.799988,726.200012,2982683
19/10/17,727,728,713.849976,719.599976,248773
23/10/17,720.5,734,720.5,730,1073023
24/10/17,734.950012,751.5,729,746,1808267
25/10/17,748,750,734,741.599976,567828
26/10/17,742,765.599976,734.5,757.799988,2523700
27/10/17,759,760,739.299988,743.549988,670625
30/10/17,745.849976,755.599976,737.150024,740.599976,421733
31/10/17,740.5,747.799988,730.75,732.900024,582996
01/11/17,739,744.349976,727.150024,730.200012,1985405
02/11/17,730.200012,736.450012,712.150024,718.950012,809337
03/11/17,733.450012,734,721,730.349976,1016413
06/11/17,734,752.349976,727.099976,734.599976,1259063
07/11/17,749.150024,749.150024,702.900024,711.349976,1578645
08/11/17,712,719.799988,705,710.299988,696732
09/11/17,714,724.599976,706.5,718.150024,658551
10/11/17,719,723.700012,710.099976,719.299988,535580
13/11/17,720,738,715.150024,724.599976,2241251
14/11/17,721.950012,730,712.599976,715.599976,753274
15/11/17,710,722.900024,703.200012,705.900024,483781
16/11/17,707,716.950012,705,714.599976,410367
17/11/17,716,725,714.299988,716.75,545351
20/11/17,719.75,741.200012,713,739.299988,920050
21/11/17,745.950012,749.900024,732.299988,735,1143184
22/11/17,738,748.650024,729,736.799988,1053876
23/11/17,740,745.950012,731.650024,737.75,705241
24/11/17,737.700012,744,737.049988,740.299988,464839
27/11/17,739.400024,753.799988,737.599976,747,689871
28/11/17,749.900024,754.900024,740.650024,742.950012,534035
29/11/17,746,746.700012,726,729.150024,382500
30/11/17,727.799988,736.650024,717.599976,726.75,998280
01/12/17,730.049988,734.200012,708.549988,712.349976,440774
04/12/17,719,722.75,707.349976,714.400024,422208
05/12/17,715,720.599976,708.200012,714.650024,408420
06/12/17,713,717.200012,706.450012,710.450012,562212
07/12/17,711,723.900024,711,719.799988,564879
08/12/17,726,727.5,718.150024,720.049988,434804
11/12/17,725,740,720.049988,737.799988,965599
12/12/17,743.700012,746.5,725.049988,727.349976,889494
13/12/17,727.349976,734.150024,707.450012,711.299988,584904
14/12/17,715.099976,719.900024,709.200012,718,340963
